cons	==1	9232494	100.0	5849715	100.00	1784660	100.00	907476	100.00	690643	100.00

agegroup	==1	1847663	20.0	1274442	21.79	315847	17.70	172518	19.01	84856	12.29
agegroup	==2	2197988	23.8	1052363	17.99	822004	46.06	94664	10.43	228957	33.15
agegroup	==3	2020018	21.9	886772	15.16	484085	27.12	350034	38.57	299127	43.31
agegroup	==4	2091771	22.7	1638248	28.01	124291	6.96	263073	28.99	66159	9.58
agegroup	==5	1075054	11.6	997890	17.06	38433	2.15	27187	3.00	11544	1.67
agegroup	==6	0	0.0	0	0.00	0	0.00	0	0.00	0	0.00
agegroup	==7	0	0.0	0	0.00	0	0.00	0	0.00	0	0.00

male	==0	4714429	51.1	2808879	48.02	1022176	57.28	497282	54.80	386092	55.90
male	==1	4518065	48.9	3040836	51.98	762484	42.72	410194	45.20	304551	44.10

bmicat	==1	172978	1.9	116403	1.99	32294	1.81	13726	1.51	10555	1.53
bmicat	==2	2764157	29.9	1760894	30.10	577310	32.35	240811	26.54	185142	26.81
bmicat	==3	2486360	26.9	1559906	26.67	495231	27.75	243355	26.82	187868	27.20
bmicat	==4	1274323	13.8	810719	13.86	235964	13.22	128438	14.15	99202	14.36
bmicat	==5	524416	5.7	335668	5.74	94596	5.30	52856	5.82	41296	5.98
bmicat	==6	291916	3.2	188371	3.22	51784	2.90	28860	3.18	22901	3.32
bmicat	>=.	1718344	18.6	1077754	18.42	297481	16.67	199430	21.98	143679	20.80

smoke	==1	4408905	47.8	2793736	47.76	866582	48.56	434969	47.93	313618	45.41
smoke	==2	2681778	29.0	1678672	28.70	537511	30.12	265164	29.22	200431	29.02
smoke	==3	1860599	20.2	1214353	20.76	339565	19.03	157571	17.36	149110	21.59
smoke	>=.	281212	3.0	162954	2.79	41002	2.30	49772	5.48	27484	3.98

ethnicity	==1	7667215	83.0	5010619	85.66	1418481	79.48	730479	80.50	507636	73.50
ethnicity	==2	157939	1.7	94907	1.62	33259	1.86	15320	1.69	14453	2.09
ethnicity	==3	811537	8.8	391679	6.70	211520	11.85	101897	11.23	106441	15.41
ethnicity	==4	305296	3.3	168471	2.88	62453	3.50	35552	3.92	38820	5.62
