period	age	exposure	exposure level	outcome	HR	lci	uci
0	0	kids_cat4	1	covid_tpp_prob	1.20	1.19	1.22	9063422
0	0	kids_cat4	2	covid_tpp_prob	1.17	1.15	1.19	9063422
0	0	kids_cat4	3	covid_tpp_prob	1.22	1.20	1.24	9063422
0	0	kids_cat4	1	covidadmission	1.13	1.07	1.21	9063379
0	0	kids_cat4	2	covidadmission	1.15	1.07	1.23	9063379
0	0	kids_cat4	3	covidadmission	1.16	1.07	1.25	9063379
0	0	kids_cat4	1	covid_death	0.82	0.67	1.00	9063422
0	0	kids_cat4	2	covid_death	0.83	0.67	1.01	9063422
0	0	kids_cat4	3	covid_death	0.72	0.54	0.96	9063422
0	1	kids_cat4	1	covid_tpp_prob	1.23	1.15	1.31	2722798
0	1	kids_cat4	2	covid_tpp_prob	1.15	1.06	1.24	2722798
0	1	kids_cat4	3	covid_tpp_prob	1.17	1.06	1.30	2722798
0	1	kids_cat4	1	covidadmission	1.24	1.08	1.41	2722743
0	1	kids_cat4	2	covidadmission	1.19	1.02	1.39	2722743
0	1	kids_cat4	3	covidadmission	1.09	0.89	1.34	2722743
0	1	kids_cat4	1	covid_death	1.10	0.91	1.32	2722798
0	1	kids_cat4	2	covid_death	0.95	0.76	1.18	2722798
0	1	kids_cat4	3	covid_death	0.96	0.71	1.28	2722798
1	0	kids_cat4	1	covid_tpp_prob	1.43	1.39	1.48	8704312
1	0	kids_cat4	2	covid_tpp_prob	1.31	1.25	1.36	8704312
1	0	kids_cat4	3	covid_tpp_prob	1.62	1.56	1.69	8704312
1	0	kids_cat4	1	covidadmission	1.81	1.54	2.14	8991167
1	0	kids_cat4	2	covidadmission	1.30	1.05	1.59	8991167
1	0	kids_cat4	3	covidadmission	1.86	1.49	2.30	8991167
1	0	kids_cat4	1	covid_death	1.43	0.87	2.36	9000609
1	0	kids_cat4	2	covid_death	1.15	0.69	1.93	9000609
1	0	kids_cat4	3	covid_death	0.83	0.38	1.84	9000609
1	1	kids_cat4	1	covid_tpp_prob	1.55	1.25	1.93	2653229
1	1	kids_cat4	2	covid_tpp_prob	1.40	1.08	1.81	2653229
1	1	kids_cat4	3	covid_tpp_prob	1.96	1.47	2.61	2653229
1	1	kids_cat4	1	covidadmission	1.08	0.60	1.94	2683825
1	1	kids_cat4	2	covidadmission	2.04	1.22	3.43	2683825
1	1	kids_cat4	3	covidadmission	2.31	1.29	4.13	2683825
1	1	kids_cat4	1	covid_death	0.80	0.39	1.64	2690084
1	1	kids_cat4	2	covid_death	2.06	1.20	3.53	2690084
1	1	kids_cat4	3	covid_death	1.64	0.75	3.60	2690084
2	0	kids_cat4	1	covid_tpp_prob	1.02	1.01	1.04	8575395
2	0	kids_cat4	2	covid_tpp_prob	1.31	1.28	1.34	8575395
2	0	kids_cat4	3	covid_tpp_prob	1.29	1.25	1.32	8575395
2	0	kids_cat4	1	covidadmission	2.10	1.13	3.92	8891660
2	0	kids_cat4	2	covidadmission	2.40	1.15	5.01	8891660
2	0	kids_cat4	3	covidadmission	1.79	0.82	3.92	8891660
2	0	kids_cat4	1	covid_death	0.82	0.28	2.46	8901935
2	0	kids_cat4	2	covid_death	1.47	0.63	3.44	8901935
2	0	kids_cat4	3	covid_death	0.51	0.11	2.28	8901935
2	1	kids_cat4	1	covid_tpp_prob	1.41	1.17	1.69	2623792
2	1	kids_cat4	2	covid_tpp_prob	1.46	1.18	1.81	2623792
2	1	kids_cat4	3	covid_tpp_prob	1.56	1.19	2.04	2623792
2	1	kids_cat4	1	covidadmission	0.00	   .	   .	2655947
2	1	kids_cat4	2	covidadmission	1.42	0.15	13.30	2655947
2	1	kids_cat4	3	covidadmission	0.00	   .	   .	2655947
2	1	kids_cat4	1	covid_death	0.86	0.26	2.89	2661993
2	1	kids_cat4	2	covid_death	1.91	0.62	5.84	2661993
2	1	kids_cat4	3	covid_death	1.07	0.25	4.62	2661993

