period	age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	0	kids_cat4	1	covid_death	male	0	1.02	0.67	1.54	0.78
0	0	kids_cat4	1	covid_death	male	1	1.11	0.67	1.84	
0	0	kids_cat4	1	covid_death	vaccine	0	1.02	0.86	1.21	0.05
0	0	kids_cat4	1	covid_death	vaccine	1	0.74	0.51	1.05	
0	0	kids_cat4	2	covid_death	male	0	1.11	0.63	1.96	0.22
0	0	kids_cat4	2	covid_death	male	1	1.79	1.01	3.20	
0	0	kids_cat4	2	covid_death	vaccine	0	0.94	0.75	1.18	0.10
0	0	kids_cat4	2	covid_death	vaccine	1	0.34	0.10	1.18	
0	0	kids_cat4	3	covid_death	male	0	1.03	0.70	1.50	0.47
0	0	kids_cat4	3	covid_death	male	1	1.25	0.78	1.99	
0	0	kids_cat4	3	covid_death	vaccine	0	1.00	0.86	1.17	0.00
0	0	kids_cat4	3	covid_death	vaccine	1	0.78	0.65	0.94	
0	1	kids_cat4	1	covid_death	male	0	0.74	0.33	1.64	0.75
0	1	kids_cat4	1	covid_death	male	1	0.63	0.31	1.29	
0	1	kids_cat4	1	covid_death	vaccine	0	0.93	0.68	1.27	0.20
0	1	kids_cat4	1	covid_death	vaccine	1	0.66	0.37	1.19	
0	1	kids_cat4	2	covid_death	male	0	0.52	0.17	1.57	0.38
0	1	kids_cat4	2	covid_death	male	1	1.02	0.41	2.55	
0	1	kids_cat4	2	covid_death	vaccine	0	1.00	0.68	1.46	0.59
0	1	kids_cat4	2	covid_death	vaccine	1	0.56	0.08	4.15	
0	1	kids_cat4	3	covid_death	male	0	0.81	0.39	1.69	0.84
0	1	kids_cat4	3	covid_death	male	1	0.75	0.40	1.41	
0	1	kids_cat4	3	covid_death	vaccine	0	1.00	0.75	1.34	0.05
0	1	kids_cat4	3	covid_death	vaccine	1	0.80	0.56	1.14	
1	0	kids_cat4	1	covid_death	male	0	1.34	0.84	2.13	0.16
1	0	kids_cat4	1	covid_death	male	1	0.89	0.58	1.37	
1	0	kids_cat4	1	covid_death	vaccine	0	1.02	0.86	1.21	0.05
1	0	kids_cat4	1	covid_death	vaccine	1	0.74	0.51	1.05	
1	0	kids_cat4	2	covid_death	male	0	1.29	0.69	2.41	0.02
1	0	kids_cat4	2	covid_death	male	1	0.47	0.24	0.92	
1	0	kids_cat4	2	covid_death	vaccine	0	0.94	0.75	1.18	0.10
1	0	kids_cat4	2	covid_death	vaccine	1	0.34	0.10	1.18	
1	0	kids_cat4	3	covid_death	male	0	1.20	0.78	1.85	0.28
1	0	kids_cat4	3	covid_death	male	1	0.90	0.61	1.34	
1	0	kids_cat4	3	covid_death	vaccine	0	1.00	0.86	1.17	0.00
1	0	kids_cat4	3	covid_death	vaccine	1	0.78	0.65	0.94	
1	1	kids_cat4	1	covid_death	male	0	1.57	0.74	3.36	0.06
1	1	kids_cat4	1	covid_death	male	1	0.61	0.30	1.25	
1	1	kids_cat4	1	covid_death	vaccine	0	0.93	0.68	1.27	0.20
1	1	kids_cat4	1	covid_death	vaccine	1	0.66	0.37	1.19	
1	1	kids_cat4	2	covid_death	male	0	1.41	0.56	3.56	0.13
1	1	kids_cat4	2	covid_death	male	1	0.46	0.13	1.63	
1	1	kids_cat4	2	covid_death	vaccine	0	1.00	0.68	1.46	0.59
1	1	kids_cat4	2	covid_death	vaccine	1	0.56	0.08	4.15	
1	1	kids_cat4	3	covid_death	male	0	1.69	0.85	3.37	0.03
1	1	kids_cat4	3	covid_death	male	1	0.65	0.34	1.25	
1	1	kids_cat4	3	covid_death	vaccine	0	1.00	0.75	1.34	0.05
1	1	kids_cat4	3	covid_death	vaccine	1	0.80	0.56	1.14	
2	0	kids_cat4	1	covid_death	male	0	0.97	0.69	1.39	0.66
2	0	kids_cat4	1	covid_death	male	1	0.87	0.56	1.33	
2	0	kids_cat4	1	covid_death	vaccine	0	1.02	0.86	1.21	0.05
2	0	kids_cat4	1	covid_death	vaccine	1	0.74	0.51	1.05	
2	0	kids_cat4	2	covid_death	male	0	0.61	0.35	1.06	0.77
2	0	kids_cat4	2	covid_death	male	1	0.69	0.39	1.22	
2	0	kids_cat4	2	covid_death	vaccine	0	0.94	0.75	1.18	0.10
2	0	kids_cat4	2	covid_death	vaccine	1	0.34	0.10	1.18	
2	0	kids_cat4	3	covid_death	male	0	0.88	0.64	1.20	0.98
2	0	kids_cat4	3	covid_death	male	1	0.88	0.59	1.31	
2	0	kids_cat4	3	covid_death	vaccine	0	1.00	0.86	1.17	0.00
2	0	kids_cat4	3	covid_death	vaccine	1	0.78	0.65	0.94	
2	1	kids_cat4	1	covid_death	male	0	0.93	0.44	1.97	0.50
2	1	kids_cat4	1	covid_death	male	1	1.37	0.60	3.11	
2	1	kids_cat4	1	covid_death	vaccine	0	0.93	0.68	1.27	0.20
2	1	kids_cat4	1	covid_death	vaccine	1	0.66	0.37	1.19	
2	1	kids_cat4	2	covid_death	male	0	1.21	0.52	2.83	0.53
2	1	kids_cat4	2	covid_death	male	1	1.96	0.66	5.82	
2	1	kids_cat4	2	covid_death	vaccine	0	1.00	0.68	1.46	0.59
2	1	kids_cat4	2	covid_death	vaccine	1	0.56	0.08	4.15	
2	1	kids_cat4	3	covid_death	male	0	1.05	0.52	2.14	0.57
2	1	kids_cat4	3	covid_death	male	1	1.43	0.66	3.10	
2	1	kids_cat4	3	covid_death	vaccine	0	1.00	0.75	1.34	0.05
2	1	kids_cat4	3	covid_death	vaccine	1	0.80	0.56	1.14	

