cons	==1	4605 (100.0)	143 (100.00)	455 (100.00)	85 (100.00)	3922 (100.00)

agegroup	==1	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
agegroup	==2	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
agegroup	==3	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
agegroup	==4	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
agegroup	==5	1105 (24.0)	33 (23.08)	117 (25.71)	16 (18.82)	939 (23.94)
agegroup	==6	2193 (47.6)	65 (45.45)	217 (47.69)	50 (58.82)	1861 (47.45)
agegroup	==7	1307 (28.4)	45 (31.47)	121 (26.59)	19 (22.35)	1122 (28.61)

male	==0	2355 (51.1)	77 (53.85)	233 (51.21)	42 (49.41)	2003 (51.07)
male	==1	2250 (48.9)	66 (46.15)	222 (48.79)	43 (50.59)	1919 (48.93)

bmicat	==1	456 (9.9)	11 (7.69)	35 (7.69)	10 (11.76)	400 (10.20)
bmicat	==2	1012 (22.0)	27 (18.88)	95 (20.88)	19 (22.35)	871 (22.21)
bmicat	==3	814 (17.7)	35 (24.48)	68 (14.95)	10 (11.76)	701 (17.87)
bmicat	==4	651 (14.1)	18 (12.59)	59 (12.97)	9 (10.59)	565 (14.41)
bmicat	==5	420 (9.1)	9 (6.29)	56 (12.31)	10 (11.76)	345 (8.80)
bmicat	==6	295 (6.4)	15 (10.49)	34 (7.47)	4 (4.71)	242 (6.17)
bmicat	>=.	957 (20.8)	28 (19.58)	108 (23.74)	23 (27.06)	798 (20.35)

smoke	==1	174 (3.8)	5 (3.50)	13 (2.86)	3 (3.53)	153 (3.90)
smoke	==2	101 (2.2)	2 (1.40)	10 (2.20)	2 (2.35)	87 (2.22)
smoke	==3	525 (11.4)	19 (13.29)	47 (10.33)	12 (14.12)	447 (11.40)
smoke	>=.	3805 (82.6)	117 (81.82)	385 (84.62)	68 (80.00)	3235 (82.48)

ethnicity	==1	3621 (78.6)	121 (84.62)	363 (79.78)	63 (74.12)	3074 (78.38)
ethnicity	==2	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
ethnicity	==3	493 (10.7)	10 (6.99)	47 (10.33)	18 (21.18)	418 (10.66)
ethnicity	==4	0 (0.0)	0 (0.00)	0 (0.00)	0 (0.00)	0 (0.00)
ethnicity	==5	491 (10.7)	12 (8.39)	45 (9.89)	4 (4.71)	430 (10.96)
