period	age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	0	kids_cat4	1	covid_tpp_prob	male	0	1.29	0.93	1.77	0.06
0	0	kids_cat4	1	covid_tpp_prob	male	1	0.90	0.70	1.16	
0	0	kids_cat4	1	covid_tpp_prob	vaccine	0	1.09	0.96	1.25	0.86
0	0	kids_cat4	1	covid_tpp_prob	vaccine	1	1.06	0.70	1.60	
0	0	kids_cat4	2	covid_tpp_prob	male	0	1.27	0.83	1.94	0.43
0	0	kids_cat4	2	covid_tpp_prob	male	1	1.03	0.76	1.38	
0	0	kids_cat4	2	covid_tpp_prob	vaccine	0	1.10	0.93	1.29	0.45
0	0	kids_cat4	2	covid_tpp_prob	vaccine	1	0.94	0.64	1.39	
0	0	kids_cat4	3	covid_tpp_prob	male	0	1.30	0.96	1.77	0.07
0	0	kids_cat4	3	covid_tpp_prob	male	1	0.95	0.76	1.19	
0	0	kids_cat4	3	covid_tpp_prob	vaccine	0	1.07	0.95	1.21	0.00
0	0	kids_cat4	3	covid_tpp_prob	vaccine	1	0.80	0.68	0.94	
0	1	kids_cat4	1	covid_tpp_prob	male	0	1.08	0.70	1.65	0.88
0	1	kids_cat4	1	covid_tpp_prob	male	1	1.03	0.66	1.61	
0	1	kids_cat4	1	covid_tpp_prob	vaccine	0	1.06	0.84	1.34	0.01
0	1	kids_cat4	1	covid_tpp_prob	vaccine	1	0.50	0.27	0.96	
0	1	kids_cat4	2	covid_tpp_prob	male	0	0.94	0.54	1.63	0.54
0	1	kids_cat4	2	covid_tpp_prob	male	1	1.17	0.65	2.13	
0	1	kids_cat4	2	covid_tpp_prob	vaccine	0	1.14	0.85	1.52	0.03
0	1	kids_cat4	2	covid_tpp_prob	vaccine	1	0.81	0.59	1.11	
0	1	kids_cat4	3	covid_tpp_prob	male	0	1.12	0.77	1.64	0.66
0	1	kids_cat4	3	covid_tpp_prob	male	1	1.00	0.66	1.52	
0	1	kids_cat4	3	covid_tpp_prob	vaccine	0	1.05	0.84	1.30	0.02
0	1	kids_cat4	3	covid_tpp_prob	vaccine	1	0.80	0.58	1.10	
1	0	kids_cat4	1	covid_tpp_prob	male	0	1.46	1.11	1.92	0.02
1	0	kids_cat4	1	covid_tpp_prob	male	1	0.95	0.73	1.23	
1	0	kids_cat4	1	covid_tpp_prob	vaccine	0	1.09	0.96	1.25	0.86
1	0	kids_cat4	1	covid_tpp_prob	vaccine	1	1.06	0.70	1.60	
1	0	kids_cat4	2	covid_tpp_prob	male	0	0.97	0.62	1.50	0.98
1	0	kids_cat4	2	covid_tpp_prob	male	1	0.97	0.67	1.41	
1	0	kids_cat4	2	covid_tpp_prob	vaccine	0	1.10	0.93	1.29	0.45
1	0	kids_cat4	2	covid_tpp_prob	vaccine	1	0.94	0.64	1.39	
1	0	kids_cat4	3	covid_tpp_prob	male	0	1.26	0.98	1.63	0.02
1	0	kids_cat4	3	covid_tpp_prob	male	1	0.86	0.67	1.09	
1	0	kids_cat4	3	covid_tpp_prob	vaccine	0	1.07	0.95	1.21	0.00
1	0	kids_cat4	3	covid_tpp_prob	vaccine	1	0.80	0.68	0.94	
1	1	kids_cat4	1	covid_tpp_prob	male	0	1.15	0.72	1.83	0.96
1	1	kids_cat4	1	covid_tpp_prob	male	1	1.17	0.64	2.13	
1	1	kids_cat4	1	covid_tpp_prob	vaccine	0	1.06	0.84	1.34	0.01
1	1	kids_cat4	1	covid_tpp_prob	vaccine	1	0.50	0.27	0.96	
1	1	kids_cat4	2	covid_tpp_prob	male	0	1.21	0.65	2.24	0.54
1	1	kids_cat4	2	covid_tpp_prob	male	1	1.65	0.77	3.54	
1	1	kids_cat4	2	covid_tpp_prob	vaccine	0	1.14	0.85	1.52	0.03
1	1	kids_cat4	2	covid_tpp_prob	vaccine	1	0.81	0.59	1.11	
1	1	kids_cat4	3	covid_tpp_prob	male	0	1.28	0.84	1.95	0.73
1	1	kids_cat4	3	covid_tpp_prob	male	1	1.13	0.64	2.00	
1	1	kids_cat4	3	covid_tpp_prob	vaccine	0	1.05	0.84	1.30	0.02
1	1	kids_cat4	3	covid_tpp_prob	vaccine	1	0.80	0.58	1.10	
2	0	kids_cat4	1	covid_tpp_prob	male	0	1.11	0.79	1.56	0.58
2	0	kids_cat4	1	covid_tpp_prob	male	1	0.96	0.61	1.53	
2	0	kids_cat4	1	covid_tpp_prob	vaccine	0	1.09	0.96	1.25	0.86
2	0	kids_cat4	1	covid_tpp_prob	vaccine	1	1.06	0.70	1.60	
2	0	kids_cat4	2	covid_tpp_prob	male	0	1.19	0.74	1.93	0.91
2	0	kids_cat4	2	covid_tpp_prob	male	1	1.25	0.68	2.27	
2	0	kids_cat4	2	covid_tpp_prob	vaccine	0	1.10	0.93	1.29	0.45
2	0	kids_cat4	2	covid_tpp_prob	vaccine	1	0.94	0.64	1.39	
2	0	kids_cat4	3	covid_tpp_prob	male	0	1.13	0.84	1.51	0.45
2	0	kids_cat4	3	covid_tpp_prob	male	1	0.95	0.61	1.47	
2	0	kids_cat4	3	covid_tpp_prob	vaccine	0	1.07	0.95	1.21	0.00
2	0	kids_cat4	3	covid_tpp_prob	vaccine	1	0.80	0.68	0.94	
2	1	kids_cat4	1	covid_tpp_prob	male	0	0.60	0.32	1.11	0.09
2	1	kids_cat4	1	covid_tpp_prob	male	1	1.25	0.62	2.50	
2	1	kids_cat4	1	covid_tpp_prob	vaccine	0	1.06	0.84	1.34	0.01
2	1	kids_cat4	1	covid_tpp_prob	vaccine	1	0.50	0.27	0.96	
2	1	kids_cat4	2	covid_tpp_prob	male	0	0.49	0.23	1.06	0.00
2	1	kids_cat4	2	covid_tpp_prob	male	1	3.37	1.47	7.71	
2	1	kids_cat4	2	covid_tpp_prob	vaccine	0	1.14	0.85	1.52	0.03
2	1	kids_cat4	2	covid_tpp_prob	vaccine	1	0.81	0.59	1.11	
2	1	kids_cat4	3	covid_tpp_prob	male	0	0.58	0.32	1.03	0.03
2	1	kids_cat4	3	covid_tpp_prob	male	1	1.31	0.69	2.47	
2	1	kids_cat4	3	covid_tpp_prob	vaccine	0	1.05	0.84	1.30	0.02
2	1	kids_cat4	3	covid_tpp_prob	vaccine	1	0.80	0.58	1.10	

