period	age	exposure	exposure level	outcome	HR	lci	uci
0	0	kids_cat4	1	covid_tpp_prob	1.20	1.18	1.21	9225695
0	0	kids_cat4	2	covid_tpp_prob	1.16	1.15	1.18	9225695
0	0	kids_cat4	3	covid_tpp_prob	1.21	1.19	1.23	9225695
0	0	kids_cat4	1	covidadmission	1.15	1.08	1.22	9225648
0	0	kids_cat4	2	covidadmission	1.16	1.09	1.23	9225648
0	0	kids_cat4	3	covidadmission	1.18	1.09	1.27	9225648
0	0	kids_cat4	1	covid_death	0.80	0.66	0.97	9225695
0	0	kids_cat4	2	covid_death	0.81	0.66	0.99	9225695
0	0	kids_cat4	3	covid_death	0.69	0.52	0.91	9225695
0	1	kids_cat4	1	covid_tpp_prob	1.24	1.17	1.32	2794827
0	1	kids_cat4	2	covid_tpp_prob	1.15	1.06	1.24	2794827
0	1	kids_cat4	3	covid_tpp_prob	1.19	1.08	1.31	2794827
0	1	kids_cat4	1	covidadmission	1.23	1.08	1.40	2794765
0	1	kids_cat4	2	covidadmission	1.26	1.09	1.45	2794765
0	1	kids_cat4	3	covidadmission	1.15	0.95	1.39	2794765
0	1	kids_cat4	1	covid_death	1.12	0.94	1.34	2794827
0	1	kids_cat4	2	covid_death	0.96	0.77	1.19	2794827
0	1	kids_cat4	3	covid_death	1.00	0.75	1.33	2794827
1	0	kids_cat4	1	covid_tpp_prob	1.42	1.38	1.47	8822168
1	0	kids_cat4	2	covid_tpp_prob	1.31	1.26	1.37	8822168
1	0	kids_cat4	3	covid_tpp_prob	1.63	1.56	1.70	8822168
1	0	kids_cat4	1	covidadmission	1.87	1.56	2.23	9118214
1	0	kids_cat4	2	covidadmission	1.34	1.06	1.69	9118214
1	0	kids_cat4	3	covidadmission	1.78	1.42	2.23	9118214
1	0	kids_cat4	1	covid_death	2.04	1.04	4.00	9128602
1	0	kids_cat4	2	covid_death	2.01	1.08	3.76	9128602
1	0	kids_cat4	3	covid_death	1.66	0.68	4.08	9128602
1	1	kids_cat4	1	covid_tpp_prob	1.63	1.30	2.05	2716582
1	1	kids_cat4	2	covid_tpp_prob	1.36	1.03	1.81	2716582
1	1	kids_cat4	3	covid_tpp_prob	1.88	1.37	2.57	2716582
1	1	kids_cat4	1	covidadmission	0.87	0.43	1.76	2747159
1	1	kids_cat4	2	covidadmission	1.47	0.76	2.85	2747159
1	1	kids_cat4	3	covidadmission	2.26	1.19	4.29	2747159
1	1	kids_cat4	1	covid_death	0.50	0.15	1.62	2753747
1	1	kids_cat4	2	covid_death	3.14	1.70	5.82	2753747
1	1	kids_cat4	3	covid_death	1.65	0.61	4.47	2753747
2	0	kids_cat4	1	covid_tpp_prob	1.03	1.02	1.05	8736179
2	0	kids_cat4	2	covid_tpp_prob	1.31	1.28	1.33	8736179
2	0	kids_cat4	3	covid_tpp_prob	1.29	1.26	1.32	8736179
2	0	kids_cat4	1	covidadmission	1.39	1.25	1.55	9059054
2	0	kids_cat4	2	covidadmission	1.37	1.20	1.56	9059054
2	0	kids_cat4	3	covidadmission	1.72	1.51	1.96	9059054
2	0	kids_cat4	1	covid_death	1.07	0.57	2.01	9070159
2	0	kids_cat4	2	covid_death	1.32	0.75	2.33	9070159
2	0	kids_cat4	3	covid_death	0.74	0.30	1.82	9070159
2	1	kids_cat4	1	covid_tpp_prob	1.33	1.14	1.55	2695032
2	1	kids_cat4	2	covid_tpp_prob	1.46	1.23	1.74	2695032
2	1	kids_cat4	3	covid_tpp_prob	1.45	1.16	1.82	2695032
2	1	kids_cat4	1	covidadmission	1.54	1.07	2.21	2726399
2	1	kids_cat4	2	covidadmission	2.02	1.41	2.91	2726399
2	1	kids_cat4	3	covidadmission	1.21	0.66	2.21	2726399
2	1	kids_cat4	1	covid_death	0.77	0.34	1.77	2732877
2	1	kids_cat4	2	covid_death	1.34	0.63	2.86	2732877
2	1	kids_cat4	3	covid_death	0.53	0.13	2.14	2732877
3	0	kids_cat4	1	covid_tpp_prob	1.23	1.21	1.24	8531549
3	0	kids_cat4	2	covid_tpp_prob	1.37	1.35	1.40	8531549
3	0	kids_cat4	3	covid_tpp_prob	1.48	1.45	1.50	8531549
3	0	kids_cat4	1	covidadmission	1.51	1.37	1.67	8996619
3	0	kids_cat4	2	covidadmission	1.31	1.16	1.48	8996619
3	0	kids_cat4	3	covidadmission	1.47	1.29	1.68	8996619
3	0	kids_cat4	1	covid_death	0.61	0.39	0.95	9010145
3	0	kids_cat4	2	covid_death	0.84	0.56	1.25	9010145
3	0	kids_cat4	3	covid_death	0.73	0.43	1.26	9010145
3	1	kids_cat4	1	covid_tpp_prob	1.16	1.04	1.29	2667561
3	1	kids_cat4	2	covid_tpp_prob	1.40	1.25	1.58	2667561
3	1	kids_cat4	3	covid_tpp_prob	1.26	1.07	1.49	2667561
3	1	kids_cat4	1	covidadmission	1.49	1.14	1.94	2705415
3	1	kids_cat4	2	covidadmission	2.00	1.54	2.61	2705415
3	1	kids_cat4	3	covidadmission	1.77	1.23	2.53	2705415
3	1	kids_cat4	1	covid_death	1.64	1.10	2.43	2712551
3	1	kids_cat4	2	covid_death	1.89	1.25	2.87	2712551
3	1	kids_cat4	3	covid_death	2.16	1.29	3.60	2712551
4	0	kids_cat4	1	covid_tpp_prob	1.89	1.86	1.92	8321561
4	0	kids_cat4	2	covid_tpp_prob	1.91	1.88	1.95	8321561
4	0	kids_cat4	3	covid_tpp_prob	2.76	2.71	2.81	8321561
4	0	kids_cat4	1	covidadmission	1.89	1.63	2.19	8934824
4	0	kids_cat4	2	covidadmission	1.66	1.40	1.98	8934824
4	0	kids_cat4	3	covidadmission	2.61	2.20	3.11	8934824
4	0	kids_cat4	1	covid_death	1.17	0.66	2.09	8951204
4	0	kids_cat4	2	covid_death	1.28	0.71	2.29	8951204
4	0	kids_cat4	3	covid_death	1.39	0.69	2.80	8951204
4	1	kids_cat4	1	covid_tpp_prob	1.42	1.27	1.58	2635509
4	1	kids_cat4	2	covid_tpp_prob	1.56	1.39	1.75	2635509
4	1	kids_cat4	3	covid_tpp_prob	1.65	1.41	1.94	2635509
4	1	kids_cat4	1	covidadmission	1.82	1.28	2.57	2683859
4	1	kids_cat4	2	covidadmission	1.45	0.91	2.31	2683859
4	1	kids_cat4	3	covidadmission	1.64	0.95	2.86	2683859
4	1	kids_cat4	1	covid_death	2.29	1.30	4.03	2692569
4	1	kids_cat4	2	covid_death	1.96	1.03	3.71	2692569
4	1	kids_cat4	3	covid_death	2.20	0.88	5.51	2692569

