period	age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	0	kids_cat4	0	covid_tpp_prob	male	0	1.00	   .	   .	   .
0	0	kids_cat4	0	covid_tpp_prob	male	1	1.00	   .	   .	
0	0	kids_cat4	0	covid_tpp_prob	shield	0	1.00	   .	   .	   .
0	0	kids_cat4	0	covid_tpp_prob	shield	1	1.00	   .	   .	
0	0	kids_cat4	1	covid_tpp_prob	male	0	1.18	1.17	1.20	0.00
0	0	kids_cat4	1	covid_tpp_prob	male	1	1.24	1.22	1.26	
0	0	kids_cat4	1	covid_tpp_prob	shield	0	1.21	1.20	1.23	0.05
0	0	kids_cat4	1	covid_tpp_prob	shield	1	1.19	1.16	1.21	
0	0	kids_cat4	2	covid_tpp_prob	male	0	1.17	1.15	1.19	0.66
0	0	kids_cat4	2	covid_tpp_prob	male	1	1.18	1.15	1.20	
0	0	kids_cat4	2	covid_tpp_prob	shield	0	1.18	1.16	1.20	0.02
0	0	kids_cat4	2	covid_tpp_prob	shield	1	1.14	1.11	1.17	
0	0	kids_cat4	3	covid_tpp_prob	male	0	1.21	1.19	1.23	0.04
0	0	kids_cat4	3	covid_tpp_prob	male	1	1.24	1.21	1.26	
0	0	kids_cat4	3	covid_tpp_prob	shield	0	1.23	1.21	1.25	0.05
0	0	kids_cat4	3	covid_tpp_prob	shield	1	1.19	1.15	1.22	
0	1	kids_cat4	0	covid_tpp_prob	male	0	1.00	   .	   .	   .
0	1	kids_cat4	0	covid_tpp_prob	male	1	1.00	   .	   .	
0	1	kids_cat4	0	covid_tpp_prob	shield	0	1.00	   .	   .	   .
0	1	kids_cat4	0	covid_tpp_prob	shield	1	1.00	   .	   .	
0	1	kids_cat4	1	covid_tpp_prob	male	0	1.21	1.12	1.32	0.57
0	1	kids_cat4	1	covid_tpp_prob	male	1	1.25	1.15	1.36	
0	1	kids_cat4	1	covid_tpp_prob	shield	0	1.22	1.12	1.31	0.55
0	1	kids_cat4	1	covid_tpp_prob	shield	1	1.26	1.14	1.39	
0	1	kids_cat4	2	covid_tpp_prob	male	0	1.15	1.04	1.27	0.89
0	1	kids_cat4	2	covid_tpp_prob	male	1	1.16	1.04	1.28	
0	1	kids_cat4	2	covid_tpp_prob	shield	0	1.12	1.01	1.24	0.34
0	1	kids_cat4	2	covid_tpp_prob	shield	1	1.20	1.07	1.34	
0	1	kids_cat4	3	covid_tpp_prob	male	0	1.19	1.05	1.34	0.89
0	1	kids_cat4	3	covid_tpp_prob	male	1	1.18	1.03	1.35	
0	1	kids_cat4	3	covid_tpp_prob	shield	0	1.20	1.06	1.35	0.78
0	1	kids_cat4	3	covid_tpp_prob	shield	1	1.17	1.00	1.36	
1	0	kids_cat4	0	covid_tpp_prob	male	0	1.00	   .	   .	   .
1	0	kids_cat4	0	covid_tpp_prob	male	1	1.00	   .	   .	
1	0	kids_cat4	0	covid_tpp_prob	shield	0	1.00	   .	   .	   .
1	0	kids_cat4	0	covid_tpp_prob	shield	1	1.00	   .	   .	
1	0	kids_cat4	1	covid_tpp_prob	male	0	1.45	1.39	1.50	0.02
1	0	kids_cat4	1	covid_tpp_prob	male	1	1.53	1.47	1.60	
1	0	kids_cat4	1	covid_tpp_prob	shield	0	1.48	1.43	1.54	0.86
1	0	kids_cat4	1	covid_tpp_prob	shield	1	1.47	1.38	1.57	
1	0	kids_cat4	2	covid_tpp_prob	male	0	1.39	1.32	1.47	0.04
1	0	kids_cat4	2	covid_tpp_prob	male	1	1.30	1.22	1.38	
1	0	kids_cat4	2	covid_tpp_prob	shield	0	1.34	1.27	1.41	0.26
