period	age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	0	kids_cat4	0	covid_death	male	0	1.00	   .	   .	   .
0	0	kids_cat4	0	covid_death	male	1	1.00	   .	   .	
0	0	kids_cat4	0	covid_death	shield	0	1.00	   .	   .	   .
0	0	kids_cat4	0	covid_death	shield	1	1.00	   .	   .	
0	0	kids_cat4	1	covid_death	male	0	0.62	0.45	0.86	0.03
0	0	kids_cat4	1	covid_death	male	1	0.94	0.75	1.19	
0	0	kids_cat4	1	covid_death	shield	0	0.77	0.60	0.98	0.48
0	0	kids_cat4	1	covid_death	shield	1	0.88	0.66	1.18	
0	0	kids_cat4	2	covid_death	male	0	0.61	0.43	0.86	0.04
0	0	kids_cat4	2	covid_death	male	1	0.94	0.75	1.19	
0	0	kids_cat4	2	covid_death	shield	0	0.81	0.63	1.03	0.95
0	0	kids_cat4	2	covid_death	shield	1	0.81	0.60	1.11	
0	0	kids_cat4	3	covid_death	male	0	0.62	0.39	0.98	0.57
0	0	kids_cat4	3	covid_death	male	1	0.73	0.52	1.02	
0	0	kids_cat4	3	covid_death	shield	0	0.57	0.39	0.81	0.06
0	0	kids_cat4	3	covid_death	shield	1	0.94	0.63	1.42	
0	1	kids_cat4	0	covid_death	male	0	1.00	   .	   .	   .
0	1	kids_cat4	0	covid_death	male	1	1.00	   .	   .	
0	1	kids_cat4	0	covid_death	shield	0	1.00	   .	   .	   .
0	1	kids_cat4	0	covid_death	shield	1	1.00	   .	   .	
0	1	kids_cat4	1	covid_death	male	0	1.03	0.78	1.36	0.52
0	1	kids_cat4	1	covid_death	male	1	1.15	0.92	1.43	
0	1	kids_cat4	1	covid_death	shield	0	1.16	0.91	1.47	0.55
0	1	kids_cat4	1	covid_death	shield	1	1.04	0.81	1.35	
0	1	kids_cat4	2	covid_death	male	0	0.96	0.70	1.31	0.91
0	1	kids_cat4	2	covid_death	male	1	0.93	0.70	1.24	
0	1	kids_cat4	2	covid_death	shield	0	0.92	0.67	1.25	0.80
0	1	kids_cat4	2	covid_death	shield	1	0.97	0.72	1.30	
0	1	kids_cat4	3	covid_death	male	0	0.69	0.43	1.12	0.06
0	1	kids_cat4	3	covid_death	male	1	1.19	0.85	1.66	
0	1	kids_cat4	3	covid_death	shield	0	1.03	0.71	1.49	0.67
0	1	kids_cat4	3	covid_death	shield	1	0.91	0.60	1.39	
1	0	kids_cat4	0	covid_death	male	0	1.00	   .	   .	   .
1	0	kids_cat4	0	covid_death	male	1	1.00	   .	   .	
1	0	kids_cat4	0	covid_death	shield	0	1.00	   .	   .	   .
1	0	kids_cat4	0	covid_death	shield	1	1.00	   .	   .	
1	0	kids_cat4	1	covid_death	male	0	1.87	0.69	5.08	0.54
1	0	kids_cat4	1	covid_death	male	1	2.71	1.23	5.97	
1	0	kids_cat4	1	covid_death	shield	0	2.99	1.36	6.57	0.32
1	0	kids_cat4	1	covid_death	shield	1	1.57	0.53	4.65	
1	0	kids_cat4	2	covid_death	male	0	2.55	1.00	6.53	0.68
1	0	kids_cat4	2	covid_death	male	1	1.98	0.89	4.42	
1	0	kids_cat4	2	covid_death	shield	0	2.61	1.22	5.57	0.50
1	0	kids_cat4	2	covid_death	shield	1	1.67	0.57	4.90	
1	0	kids_cat4	3	covid_death	male	0	0.86	0.11	6.44	0.45
1	0	kids_cat4	3	covid_death	male	1	2.06	0.69	6.13	
1	0	kids_cat4	3	covid_death	shield	0	1.60	0.44	5.75	0.93
1	0	kids_cat4	3	covid_death	shield	1	1.74	0.41	7.33	
1	1	kids_cat4	0	covid_death	male	0	1.00	   .	   .	   .
1	1	kids_cat4	0	covid_death	male	1	1.00	   .	   .	
1	1	kids_cat4	0	covid_death	shield	0	1.00	   .	   .	   .
1	1	kids_cat4	0	covid_death	shield	1	1.00	   .	   .	
1	1	kids_cat4	1	covid_death	male	0	1.23	0.37	4.05	0.23
1	1	kids_cat4	1	covid_death	male	1	0.30	0.04	2.20	
1	1	kids_cat4	1	covid_death	shield	0	1.18	0.36	3.92	0.25
1	1	kids_cat4	1	covid_death	shield	1	0.31	0.04	2.25	
1	1	kids_cat4	2	covid_death	male	0	3.87	1.72	8.73	0.39
1	1	kids_cat4	2	covid_death	male	1	2.32	0.90	5.97	
1	1	kids_cat4	2	covid_death	shield	0	2.31	0.84	6.35	0.49
1	1	kids_cat4	2	covid_death	shield	1	3.55	1.62	7.77	
1	1	kids_cat4	3	covid_death	male	0	2.27	0.67	7.72	0.27
1	1	kids_cat4	3	covid_death	male	1	0.63	0.08	4.82	
1	1	kids_cat4	3	covid_death	shield	0	3.17	1.06	9.48	   .
1	1	kids_cat4	3	covid_death	shield	1	0.00	0.00	0.00	
2	0	kids_cat4	0	covid_death	male	0	1.00	   .	   .	   .
2	0	kids_cat4	0	covid_death	male	1	1.00	   .	   .	
2	0	kids_cat4	0	covid_death	shield	0	1.00	   .	   .	   .
2	0	kids_cat4	0	covid_death	shield	1	1.00	   .	   .	
2	0	kids_cat4	1	covid_death	male	0	1.17	0.22	6.21	0.77
2	0	kids_cat4	1	covid_death	male	1	1.52	0.58	3.95	
2	0	kids_cat4	1	covid_death	shield	0	1.63	0.58	4.57	0.57
2	0	kids_cat4	1	covid_death	shield	1	0.98	0.21	4.68	
2	0	kids_cat4	2	covid_death	male	0	1.89	0.47	7.53	0.43
2	0	kids_cat4	2	covid_death	male	1	0.97	0.34	2.79	
2	0	kids_cat4	2	covid_death	shield	0	1.06	0.35	3.23	0.69
2	0	kids_cat4	2	covid_death	shield	1	1.51	0.39	5.78	
2	0	kids_cat4	3	covid_death	male	0	0.00	0.00	0.00	   .
2	0	kids_cat4	3	covid_death	male	1	0.69	0.16	3.07	
2	0	kids_cat4	3	covid_death	shield	0	0.38	0.05	2.91	0.57
2	0	kids_cat4	3	covid_death	shield	1	0.85	0.11	6.69	
2	1	kids_cat4	0	covid_death	male	0	1.00	   .	   .	   .
2	1	kids_cat4	0	covid_death	male	1	1.00	   .	   .	
2	1	kids_cat4	0	covid_death	shield	0	1.00	   .	   .	   .
2	1	kids_cat4	0	covid_death	shield	1	1.00	   .	   .	
2	1	kids_cat4	1	covid_death	male	0	0.71	0.10	5.22	0.58
2	1	kids_cat4	1	covid_death	male	1	1.35	0.41	4.42	
2	1	kids_cat4	1	covid_death	shield	0	1.71	0.51	5.77	0.32
2	1	kids_cat4	1	covid_death	shield	1	0.53	0.07	3.87	
2	1	kids_cat4	2	covid_death	male	0	2.03	0.48	8.63	0.76
2	1	kids_cat4	2	covid_death	male	1	1.49	0.35	6.44	
2	1	kids_cat4	2	covid_death	shield	0	2.80	0.84	9.28	0.29
2	1	kids_cat4	2	covid_death	shield	1	0.80	0.10	6.23	
2	1	kids_cat4	3	covid_death	male	0	1.34	0.18	10.09	0.82
2	1	kids_cat4	3	covid_death	male	1	0.97	0.14	7.00	
2	1	kids_cat4	3	covid_death	shield	0	0.00	0.00	0.00	   .
2	1	kids_cat4	3	covid_death	shield	1	2.14	0.50	9.14	

