period	age	exposure	exposure level	outcome	HR	lci	uci
0	0	kids_cat4	1	covid_tpp_prob	1.20	1.18	1.21	9173250
0	0	kids_cat4	2	covid_tpp_prob	1.17	1.15	1.18	9173250
0	0	kids_cat4	3	covid_tpp_prob	1.21	1.19	1.23	9173250
0	0	kids_cat4	1	covidadmission	1.15	1.08	1.22	9173203
0	0	kids_cat4	2	covidadmission	1.15	1.08	1.23	9173203
0	0	kids_cat4	3	covidadmission	1.18	1.10	1.27	9173203
0	0	kids_cat4	1	covid_death	0.81	0.66	0.98	9173250
0	0	kids_cat4	2	covid_death	0.81	0.67	0.99	9173250
0	0	kids_cat4	3	covid_death	0.69	0.52	0.91	9173250
0	1	kids_cat4	1	covid_tpp_prob	1.24	1.16	1.32	2773448
0	1	kids_cat4	2	covid_tpp_prob	1.15	1.06	1.24	2773448
0	1	kids_cat4	3	covid_tpp_prob	1.19	1.08	1.31	2773448
0	1	kids_cat4	1	covidadmission	1.22	1.08	1.39	2773386
0	1	kids_cat4	2	covidadmission	1.25	1.08	1.45	2773386
0	1	kids_cat4	3	covidadmission	1.17	0.97	1.42	2773386
0	1	kids_cat4	1	covid_death	1.12	0.94	1.34	2773448
0	1	kids_cat4	2	covid_death	0.95	0.77	1.18	2773448
0	1	kids_cat4	3	covid_death	0.99	0.75	1.32	2773448
1	0	kids_cat4	1	covid_tpp_prob	1.43	1.38	1.47	8770598
1	0	kids_cat4	2	covid_tpp_prob	1.31	1.26	1.37	8770598
1	0	kids_cat4	3	covid_tpp_prob	1.63	1.56	1.70	8770598
1	0	kids_cat4	1	covidadmission	1.87	1.56	2.24	9065109
1	0	kids_cat4	2	covidadmission	1.37	1.09	1.73	9065109
1	0	kids_cat4	3	covidadmission	1.80	1.43	2.25	9065109
1	0	kids_cat4	1	covid_death	2.04	1.04	3.99	9075424
1	0	kids_cat4	2	covid_death	2.01	1.08	3.76	9075424
1	0	kids_cat4	3	covid_death	1.66	0.68	4.08	9075424
1	1	kids_cat4	1	covid_tpp_prob	1.64	1.30	2.06	2695356
1	1	kids_cat4	2	covid_tpp_prob	1.37	1.03	1.82	2695356
1	1	kids_cat4	3	covid_tpp_prob	1.89	1.38	2.59	2695356
1	1	kids_cat4	1	covidadmission	0.88	0.44	1.78	2725748
1	1	kids_cat4	2	covidadmission	1.49	0.76	2.89	2725748
1	1	kids_cat4	3	covidadmission	2.28	1.20	4.33	2725748
1	1	kids_cat4	1	covid_death	0.50	0.16	1.63	2732304
1	1	kids_cat4	2	covid_death	3.14	1.70	5.83	2732304
1	1	kids_cat4	3	covid_death	1.65	0.61	4.46	2732304
2	0	kids_cat4	1	covid_tpp_prob	1.03	1.02	1.05	8684339
2	0	kids_cat4	2	covid_tpp_prob	1.31	1.28	1.33	8684339
2	0	kids_cat4	3	covid_tpp_prob	1.29	1.26	1.32	8684339
2	0	kids_cat4	1	covidadmission	1.38	1.23	1.54	9005557
2	0	kids_cat4	2	covidadmission	1.33	1.15	1.52	9005557
2	0	kids_cat4	3	covidadmission	1.73	1.51	1.98	9005557
2	0	kids_cat4	1	covid_death	1.07	0.57	2.01	9016578
2	0	kids_cat4	2	covid_death	1.32	0.75	2.33	9016578
2	0	kids_cat4	3	covid_death	0.74	0.30	1.82	9016578
2	1	kids_cat4	1	covid_tpp_prob	1.33	1.14	1.56	2673789
2	1	kids_cat4	2	covid_tpp_prob	1.47	1.24	1.75	2673789
2	1	kids_cat4	3	covid_tpp_prob	1.46	1.16	1.83	2673789
2	1	kids_cat4	1	covidadmission	1.56	1.06	2.28	2704966
2	1	kids_cat4	2	covidadmission	2.23	1.55	3.21	2704966
2	1	kids_cat4	3	covidadmission	1.34	0.74	2.46	2704966
2	1	kids_cat4	1	covid_death	0.78	0.34	1.78	2711409
2	1	kids_cat4	2	covid_death	1.35	0.64	2.88	2711409
2	1	kids_cat4	3	covid_death	0.53	0.13	2.14	2711409
3	0	kids_cat4	1	covid_tpp_prob	1.23	1.21	1.25	8479994
3	0	kids_cat4	2	covid_tpp_prob	1.37	1.35	1.40	8479994
3	0	kids_cat4	3	covid_tpp_prob	1.48	1.45	1.51	8479994
3	0	kids_cat4	1	covidadmission	1.40	1.21	1.62	8942745
3	0	kids_cat4	2	covidadmission	1.44	1.21	1.71	8942745
3	0	kids_cat4	3	covidadmission	1.42	1.17	1.71	8942745
3	0	kids_cat4	1	covid_death	0.54	0.34	0.85	8956036
3	0	kids_cat4	2	covid_death	0.83	0.56	1.25	8956036
3	0	kids_cat4	3	covid_death	0.68	0.39	1.19	8956036
3	1	kids_cat4	1	covid_tpp_prob	1.16	1.04	1.29	2646312
3	1	kids_cat4	2	covid_tpp_prob	1.41	1.25	1.59	2646312
3	1	kids_cat4	3	covid_tpp_prob	1.26	1.07	1.48	2646312
3	1	kids_cat4	1	covidadmission	1.56	1.03	2.34	2684025
3	1	kids_cat4	2	covidadmission	2.61	1.77	3.85	2684025
3	1	kids_cat4	3	covidadmission	1.35	0.72	2.50	2684025
3	1	kids_cat4	1	covid_death	1.64	1.10	2.44	2691046
3	1	kids_cat4	2	covid_death	1.82	1.19	2.78	2691046
3	1	kids_cat4	3	covid_death	2.15	1.29	3.59	2691046
4	0	kids_cat4	1	covid_tpp_prob	1.91	1.87	1.94	8270783
4	0	kids_cat4	2	covid_tpp_prob	1.95	1.91	1.99	8270783
4	0	kids_cat4	3	covid_tpp_prob	2.81	2.75	2.87	8270783
4	0	kids_cat4	1	covidadmission	1.00	   .	   .	8881930
4	0	kids_cat4	2	covidadmission	1.00	   .	   .	8881930
4	0	kids_cat4	3	covidadmission	1.00	   .	   .	8881930
4	0	kids_cat4	1	covid_death	1.20	0.57	2.52	8896466
4	0	kids_cat4	2	covid_death	1.38	0.64	3.00	8896466
4	0	kids_cat4	3	covid_death	1.92	0.85	4.35	8896466
4	1	kids_cat4	1	covid_tpp_prob	1.49	1.32	1.68	2614401
4	1	kids_cat4	2	covid_tpp_prob	1.58	1.38	1.80	2614401
4	1	kids_cat4	3	covid_tpp_prob	1.62	1.35	1.95	2614401
4	1	kids_cat4	1	covidadmission	1.00	   .	   .	2663681
4	1	kids_cat4	2	covidadmission	1.00	   .	   .	2663681
4	1	kids_cat4	3	covidadmission	1.00	   .	   .	2663681
4	1	kids_cat4	1	covid_death	3.04	1.43	6.45	2671036
4	1	kids_cat4	2	covid_death	1.69	0.61	4.69	2671036
4	1	kids_cat4	3	covid_death	4.20	1.55	11.38	2671036

